a;piece;of;cake les;doigts;dans;le;nez
and;so;forth et;ainsi;de;suite
and;so;on etc
as;pure;as;the;driven;snow blanc;comme;neige
at;that;time à;ce;moment
be;quiet silence
better;late;than;never mieux;vaux;tard;que;jamais
board;and;lodging le;gîte;et;le;couvert
by;far de;loin
don’t;mention;it ce;n’est;rien
every;cloud;has;a;silver;lining après;la;pluie;le;beau;temps
forget;it laisse;tomber
free;hand carte;blanche
here;is;the;high;point;of;the;night c’est;le;clou;de;la;soirée
here;you;are tiens
hold;on attends
how;boring quel;ennui
hurry;up;dépêche;toi
in;a;nutshell pour;résumer
in;short pour;faire;court
it’s;brand;new c’est;flambant;neuf
it’s;bullshit c’est;de;la;merde
it’s;easy;as;a;pie c’est;simple;comme;bonjour
it’s;far;fetched c’est;tiré;par;les;cheveux
it’s;none;of;your;business ce;ne;sont;pas;tes;oignons
it’pouring il;tombe;des;cordes
it’s;raining;dogs;and;cats il;pleut;des;cordes
it’s;the devil’s;own;work c’est;la;croix;et;la;bannière
keep;cool on;se;calme
leave;me;alone fous;moi;la;paix
let’s;go en;avant
like;a;bull;in;a;china;shop comme;un;éléphant;dans;une;boutique;de;porcelaine
make;yourself;at;home fais;comme;chez;toi
my;foot mon;oeil
never;say;die n’abandonne;jamais
not;bad pas;mal
no;smoking défense;de;fumer
no;trespassing défense;d’entrer
of;course bien;sûr
oh;dear mon;dieu
once;or;twice une;ou;deux;fois
once;upon;a;time il;était;une;fois
otherwise par;ailleurs
over;the;moon aux;anges
safe;and;sound sain;et;sauf
shut;up la;ferme
so;very de;très
something;wrong quelque;chose;ne;va;pas
stop;it ça;suffit
thank;you merci
that;drives;me;crazy cela;me;prend;la;tête
that’s;too;much ça;dépasse;les;limites
that’s;enough assez
the;last;straw;which;breaks;the;camel’s;back c’est;la;goutte;d’eau;qui;fait;déborder;le;vase
there;is;a;snake;in;the;grass il;y;a;anguille;sous;roche
time’s;up c’est;l’heure
tit;for;tats oeil;pour;oeil;dent;pour;dent
to;get;dressed;up;to;the;nines se;mettre;sur;son;trente;et;un
to;put;it;in;a;nutshell pour;résumer
very;much énormément
you;cannot;teach;an;old;dog;new;tricks on;n’apprend;pas;aux;vieux;singes;à;faire;la;grimace
you;can’t;put;the;clock;back ce;qui;est;fait;est;fait
you;must;call;a;spade;a;spade appelons;un;chat;un;chat
you’re;welcome de;rien
what’s;up quoi;de;neuf
when;the;cat;is;away;the;mice;will;play quand;le;chat;n’est;pas;là;les;souris;dansent
